material_query,book,page,record_index,material_class,N,RP_RMS,RP_abs_RMS,RP_G_rho,RP_model_json,CP_family_RMS,CP_family_specific_model,CP_family_G_rho,CP_family_model_json,CP_vs_RP_log10_RMS_gain,selected_reason
Si,Si,Franta-150K,3,semiconductor,2,0.016664992390751,0.5460072301423301,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-150K/RP_M2.json,0.0700183335948723,SemiCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-150K/SCP_M2.json,-0.6234066508395505,RP has lower RMS than CP-family at N=2
Si,Si,Franta-150K,3,semiconductor,4,0.0117401470676677,0.2817119973194523,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-150K/RP_M4.json,,none,,,,RP usable
Si,Si,Franta-200K,4,semiconductor,2,0.0182613354645545,0.5744328004802471,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-200K/RP_M2.json,0.0326430409602377,AnalyticalCP,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-200K/CP_M2.json,-0.25225807534300987,RP has lower RMS than CP-family at N=2
Si,Si,Franta-20C,5,semiconductor,4,0.0053415306435627,0.1300872143023698,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-20C/RP_M4.json,,none,,,,RP usable
Si,Si,Franta-250K,6,semiconductor,2,0.0185941360539736,0.585003630303513,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-250K/RP_M2.json,0.0337917636118327,AnalyticalCP,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-250K/CP_M2.json,-0.259434854065299,RP has lower RMS than CP-family at N=2
Si,Si,Franta-250K,6,semiconductor,5,0.0012937632760889,0.0311226811921454,1.0000005485130183,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-250K/RP_M5.json,0.0034923430017174,AnalyticalCP,1.000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-250K/CP_M5.json,-0.431262072133561,RP has lower RMS than CP-family at N=5
Si,Si,Franta-25C,7,semiconductor,4,0.0051059324645162,0.1233373636259416,1.000000497307245,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-25C/RP_M4.json,0.0123162800872755,SemiCP,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-25C/SCP_M4.json,-0.38240449057988185,RP has lower RMS than CP-family at N=4
Si,Si,Franta-300K,8,semiconductor,4,0.0051596695222737,0.1252704826137391,1.000000371594966,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-300K/RP_M4.json,0.0054063254011775,AnalyticalCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-300K/CP_M4.json,-0.02028029600731936,RP has lower RMS than CP-family at N=4
Si,Si,Franta-350K,9,semiconductor,4,0.0037829769143021,0.0756646782081407,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-350K/RP_M4.json,0.0043979787976559,AnalyticalCP,1.0000000036504113,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-350K/CP_M4.json,-0.06541944031747562,RP has lower RMS than CP-family at N=4
Si,Si,Franta-400K,10,semiconductor,4,0.0053450741666139,0.122024522017746,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-400K/RP_M4.json,0.0076329259498451,AnalyticalCP,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-400K/CP_M4.json,-0.15473731340862099,RP has lower RMS than CP-family at N=4
