old_record_key,new_record_key,status,match_rule,n_matches,all_matches,old_candidates
C_C_El-Sayed,VISNIR_ANY_C_El-Sayed_0.3_1um,UNIQUE,middle_exact:C_El-Sayed,1,VISNIR_ANY_C_El-Sayed_0.3_1um,C_C_El-Sayed;C_El-Sayed
C_C_Ermolaev,VISNIR_ANY_C_Ermolaev_0.3_1.1um,UNIQUE,middle_exact:C_Ermolaev,1,VISNIR_ANY_C_Ermolaev_0.3_1.1um,C_C_Ermolaev;C_Ermolaev
C_C_Ermolaev-SWCNT-e,VISNIR_ANY_C_Ermolaev-SWCNT-e_0.3_1.1um,UNIQUE,middle_exact:C_Ermolaev-SWCNT-e,1,VISNIR_ANY_C_Ermolaev-SWCNT-e_0.3_1.1um,C_C_Ermolaev-SWCNT-e;C_Ermolaev-SWCNT-e
C_C_Ermolaev-SWCNT-o,VISNIR_ANY_C_Ermolaev-SWCNT-o_0.3_1.1um,UNIQUE,middle_exact:C_Ermolaev-SWCNT-o,1,VISNIR_ANY_C_Ermolaev-SWCNT-o_0.3_1.1um,C_C_Ermolaev-SWCNT-o;C_Ermolaev-SWCNT-o
C_C_Larruquert,VISNIR_ANY_C_Larruquert_0.3_1.1um,UNIQUE,middle_exact:C_Larruquert,1,VISNIR_ANY_C_Larruquert_0.3_1.1um,C_C_Larruquert;C_Larruquert
C_C_Phillip,VISNIR_ANY_C_Phillip_0.3_1.1um,UNIQUE,middle_exact:C_Phillip,1,VISNIR_ANY_C_Phillip_0.3_1.1um,C_C_Phillip;C_Phillip
C_C_Querry-Asbury3222,VISNIR_ANY_C_Querry-Asbury3222_0.3_1.1um,UNIQUE,middle_exact:C_Querry-Asbury3222,1,VISNIR_ANY_C_Querry-Asbury3222_0.3_1.1um,C_C_Querry-Asbury3222;C_Querry-Asbury3222
C_C_Querry-AsburyMicro260,VISNIR_ANY_C_Querry-AsburyMicro260_0.3_1.1um,UNIQUE,middle_exact:C_Querry-AsburyMicro260,1,VISNIR_ANY_C_Querry-AsburyMicro260_0.3_1.1um,C_C_Querry-AsburyMicro260;C_Querry-AsburyMicro260
C_C_Querry-Dixon1102,VISNIR_ANY_C_Querry-Dixon1102_0.3_1.1um,UNIQUE,middle_exact:C_Querry-Dixon1102,1,VISNIR_ANY_C_Querry-Dixon1102_0.3_1.1um,C_C_Querry-Dixon1102;C_Querry-Dixon1102
C_C_Querry-Dixon200-10,VISNIR_ANY_C_Querry-Dixon200-10_0.3_1.1um,UNIQUE,middle_exact:C_Querry-Dixon200-10,1,VISNIR_ANY_C_Querry-Dixon200-10_0.3_1.1um,C_C_Querry-Dixon200-10;C_Querry-Dixon200-10
C_C_Querry-DixonHPN2,VISNIR_ANY_C_Querry-DixonHPN2_0.3_1.1um,UNIQUE,middle_exact:C_Querry-DixonHPN2,1,VISNIR_ANY_C_Querry-DixonHPN2_0.3_1.1um,C_C_Querry-DixonHPN2;C_Querry-DixonHPN2
C_C_Querry-DixonKS2,VISNIR_ANY_C_Querry-DixonKS2_0.3_1.1um,UNIQUE,middle_exact:C_Querry-DixonKS2,1,VISNIR_ANY_C_Querry-DixonKS2_0.3_1.1um,C_C_Querry-DixonKS2;C_Querry-DixonKS2
C_C_Querry-Pyrolytic,VISNIR_ANY_C_Querry-Pyrolytic_0.3_1.1um,UNIQUE,middle_exact:C_Querry-Pyrolytic,1,VISNIR_ANY_C_Querry-Pyrolytic_0.3_1.1um,C_C_Querry-Pyrolytic;C_Querry-Pyrolytic
