record_key,material,material_class,book,page,N,family,specific_model,epsilon_rms,absolute_rms,G_rho,FDTD_status,quality_label,model_json
GaAs_GaAs_Adachi,GaAs,semiconductor,GaAs,Adachi,5.0,CP,CP,0.0531661189502353,1.263105705373806,1.0000000423440232,FDTD_READY,poor,data/models/GaAs_GaAs_Adachi/CP_M5.json
GaAs_GaAs_Papatryfonos,GaAs,semiconductor,GaAs,Papatryfonos,5.0,CP,CP,0.0299053150491849,0.6706978243439373,1.0000001622375676,FDTD_READY,warning,data/models/GaAs_GaAs_Papatryfonos/CP_M5.json
GaAs_GaAs_Rakic,GaAs,semiconductor,GaAs,Rakic,5.0,CP,SemiCP,0.0165693785514687,0.2280354757844509,1.0000000000000004,FDTD_READY,warning,data/models/GaAs_GaAs_Rakic/SemiCP_M5.json
GaP_GaP_Adachi,GaP,semiconductor,GaP,Adachi,3.0,CP,SemiCP,0.0402477079531135,0.954398599146755,1.000000988260799,FDTD_READY,warning,data/models/GaP_GaP_Adachi/SemiCP_M3.json
GaP_GaP_Khmelevskaia,GaP,semiconductor,GaP,Khmelevskaia,3.0,CP,SemiCP,0.0046498184769314,0.078022849116167,1.000000783676187,FDTD_READY,excellent,
GaSb_GaSb_Adachi,GaSb,semiconductor,GaSb,Adachi,3.0,CP,SemiCP,0.0769515214848408,1.917321637402464,1.0000000000000009,FDTD_READY,poor,
GaSb_GaSb_Djurisic,GaSb,semiconductor,GaSb,Djurisic,5.0,CP,SemiCP,0.0019382339877703,0.0417172455947401,1.0000000000000004,FDTD_READY,excellent,data/models/GaSb_GaSb_Djurisic/SemiCP_M5.json
Ge_Ge_Ciesielski-20nm,Ge,semiconductor,Ge,Ciesielski-20nm,5.0,RP,RP,0.0023902260628127,0.0420380238630688,1.000000000000001,SELECTED_FDTD_READY,excellent,data/models/Ge_Ge_Ciesielski-20nm/RP_M5.json
Ge_Ge_Ciesielski-2nm,Ge,semiconductor,Ge,Ciesielski-2nm,3.0,CP,CP,0.0026263534148194,0.0242510238844764,1.0000000000000024,FDTD_READY,excellent,data/models/Ge_Ge_Ciesielski-2nm/CP_M3.json
Ge_Ge_Nunley,Ge,semiconductor,Ge,Nunley,5.0,CP,CP,0.0359863514974525,1.0988942802148591,1.000000000000001,FDTD_READY,warning,data/models/Ge_Ge_Nunley/CP_M5.json
GeS2_GeS2_Slavich-abinitio-alpha,GeS2,chalcogenide_or_2D,GeS2,Slavich-abinitio-alpha,3.0,CP,SemiCP,0.0029786598064166,0.0207559828996109,1.0000000000000009,FDTD_READY,excellent,
GeS2_GeS2_Slavich-abinitio-beta,GeS2,chalcogenide_or_2D,GeS2,Slavich-abinitio-beta,3.0,CP,SemiCP,0.0022953987057828,0.0175634287729292,1.0000000000000004,FDTD_READY,excellent,data/models/GeS2_GeS2_Slavich-abinitio-beta/SemiCP_M3.json
GeS2_GeS2_Slavich-abinitio-gamma,GeS2,chalcogenide_or_2D,GeS2,Slavich-abinitio-gamma,3.0,CP,SemiCP,0.0016330231931553,0.0073780770562215,1.0000000000000004,FDTD_READY,excellent,data/models/GeS2_GeS2_Slavich-abinitio-gamma/SemiCP_M3.json
GeS2_GeS2_Slavich-alpha,GeS2,chalcogenide_or_2D,GeS2,Slavich-alpha,2.0,CP,CP,0.0036447664418419,0.0263372716051937,1.000000867588211,FDTD_READY,excellent,data/models/GeS2_GeS2_Slavich-alpha/CP_M2.json
GeS2_GeS2_Slavich-beta,GeS2,chalcogenide_or_2D,GeS2,Slavich-beta,2.0,CP,CP,0.0028744278039132,0.0247073714153466,1.0000000000000016,FDTD_READY,excellent,data/models/GeS2_GeS2_Slavich-beta/CP_M2.json
GeS2_GeS2_Slavich-gamma,GeS2,chalcogenide_or_2D,GeS2,Slavich-gamma,1.0,CP,CP,0.0053652481074105,0.0231476917804964,1.0000000000000004,FDTD_READY,acceptable,
HfO2_HfO2_Franta,HfO2,high_k_oxide,HfO2,Franta,1.0,CP,CP,0.0007224210977304,0.0032540353259375,1.0000000838907466,FDTD_READY,excellent,data/models/HfO2_HfO2_Franta/CP_M1.json
InAs_InAs_Adachi,InAs,semiconductor,InAs,Adachi,3.0,CP,SemiCP,0.1244443375789024,2.260093175552735,1.0,FDTD_READY,poor,data/models/InAs_InAs_Adachi/SemiCP_M3.json
InP_InP_Adachi,InP,semiconductor,InP,Adachi,5.0,CP,SemiCP,0.087436844679493,1.4381535761207682,1.0000000000000018,FDTD_READY,poor,data/models/InP_InP_Adachi/SemiCP_M5.json
InSb_InSb_Adachi,InSb,semiconductor,InSb,Adachi,5.0,CP,CP,0.1034363910715858,2.5835444032790464,1.0000000000000009,FDTD_READY,poor,
