record_key,material,book,page,recommended,N,family,public_family,public_model_code,internal_model_code,epsilon_rms,absolute_rms,G_rho,model_json,model_curve,selection_mode,reason
GaSb_GaSb_Aspnes,GaSb,GaSb,Aspnes,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.007430098764268,0.1967230130328892,1.000000000000001,data/models/GaSb_GaSb_Aspnes/CP_M5_B.json,data/model_curves/GaSb_GaSb_Aspnes/CP_M5_B.json,lowest_RMS_no_primary_target,
GaSb_GaSb_Djurisic,GaSb,GaSb,Djurisic,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.0019381607577618,0.0417140147524465,1.0,data/models/GaSb_GaSb_Djurisic/CP_M5_B.json,data/model_curves/GaSb_GaSb_Djurisic/CP_M5_B.json,smallest_N_meeting_primary_target_0.005,
GeS2_GeS2_Slavich-abinitio-alpha,GeS2,GeS2,Slavich-abinitio-alpha,True,3.0,SCP,CP,CP_M3,CP_M3_B,0.0029785580180383,0.0207554247765656,1.0,data/models/GeS2_GeS2_Slavich-abinitio-alpha/CP_M3_B.json,data/model_curves/GeS2_GeS2_Slavich-abinitio-alpha/CP_M3_B.json,smallest_N_meeting_primary_target_0.005,
GeS2_GeS2_Slavich-abinitio-beta,GeS2,GeS2,Slavich-abinitio-beta,True,3.0,SCP,CP,CP_M3,CP_M3_B,0.0022827904910225,0.0174992604901653,1.0,data/models/GeS2_GeS2_Slavich-abinitio-beta/CP_M3_B.json,data/model_curves/GeS2_GeS2_Slavich-abinitio-beta/CP_M3_B.json,smallest_N_meeting_primary_target_0.005,
GeS2_GeS2_Slavich-abinitio-gamma,GeS2,GeS2,Slavich-abinitio-gamma,True,3.0,SCP,CP,CP_M3,CP_M3_B,0.0016334861851869,0.0073797983381227,1.0,data/models/GeS2_GeS2_Slavich-abinitio-gamma/CP_M3_B.json,data/model_curves/GeS2_GeS2_Slavich-abinitio-gamma/CP_M3_B.json,smallest_N_meeting_primary_target_0.005,
GeS2_GeS2_Slavich-alpha,GeS2,GeS2,Slavich-alpha,True,2.0,SCP,CP,CP_M2,CP_M2_B,0.0036138039163812,0.0243287776290589,1.000000064014639,data/models/GeS2_GeS2_Slavich-alpha/CP_M2_B.json,data/model_curves/GeS2_GeS2_Slavich-alpha/CP_M2_B.json,smallest_N_meeting_primary_target_0.005,
GeS2_GeS2_Slavich-beta,GeS2,GeS2,Slavich-beta,True,2.0,CP,CP,CP_M2,CP_M2_A,0.0020590055466607,0.0168191957228216,1.0000007422726325,data/models/GeS2_GeS2_Slavich-beta/CP_M2_A.json,data/model_curves/GeS2_GeS2_Slavich-beta/CP_M2_A.json,smallest_N_meeting_primary_target_0.005,
GeS2_GeS2_Slavich-gamma,GeS2,GeS2,Slavich-gamma,True,1.0,CP,CP,CP_M1,CP_M1_A,0.0053651682477849,0.0231473220311564,1.0000000000000002,data/models/GeS2_GeS2_Slavich-gamma/CP_M1_A.json,data/model_curves/GeS2_GeS2_Slavich-gamma/CP_M1_A.json,lowest_RMS_no_primary_target,
Ge_Ge_Amotchkina,Ge,Ge,Amotchkina,True,3.0,SCP,CP,CP_M3,CP_M3_B,0.2189336858989481,3.761194224373157,1.000000000000001,data/models/Ge_Ge_Amotchkina/CP_M3_B.json,data/model_curves/Ge_Ge_Amotchkina/CP_M3_B.json,lowest_RMS_no_primary_target,
Ge_Ge_Amotchkina-film,Ge,Ge,Amotchkina-film,True,4.0,SCP,CP,CP_M4,CP_M4_B,0.1203903914947215,2.5895471945907524,1.0000000000000075,data/models/Ge_Ge_Amotchkina-film/CP_M4_B.json,data/model_curves/Ge_Ge_Amotchkina-film/CP_M4_B.json,lowest_RMS_no_primary_target,
Ge_Ge_Aspnes,Ge,Ge,Aspnes,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.0055505939919651,0.180051348044108,1.0,data/models/Ge_Ge_Aspnes/CP_M5_B.json,data/model_curves/Ge_Ge_Aspnes/CP_M5_B.json,lowest_RMS_no_primary_target,
Ge_Ge_Ciesielski-20nm,Ge,Ge,Ciesielski-20nm,True,5.0,RP,RP,RP_M5,RP_M5,0.0015272343253333,0.0272502016935581,1.0,data/models/Ge_Ge_Ciesielski-20nm/RP_M5.json,data/model_curves/Ge_Ge_Ciesielski-20nm/RP_M5.json,smallest_N_meeting_primary_target_0.005,
Ge_Ge_Ciesielski-2nm,Ge,Ge,Ciesielski-2nm,True,3.0,SCP,CP,CP_M3,CP_M3_B,0.0023987181414746,0.0225408795366714,1.000000000000001,data/models/Ge_Ge_Ciesielski-2nm/CP_M3_B.json,data/model_curves/Ge_Ge_Ciesielski-2nm/CP_M3_B.json,smallest_N_meeting_primary_target_0.005,
Ge_Ge_Jellison,Ge,Ge,Jellison,True,5.0,CP,CP,CP_M5,CP_M5_A,0.0099546553477388,0.2676461158641459,1.0,data/models/Ge_Ge_Jellison/CP_M5_A.json,data/model_curves/Ge_Ge_Jellison/CP_M5_A.json,lowest_RMS_no_primary_target,
