record_key,material,material_class,book,page,N,selected_family,selected_specific_model,selected_epsilon_rms,selected_abs_rms,selected_G_rho,quality_label,selected_model_json
Ag_Ag_Werner-DFT,Ag,metal,Ag,Werner-DFT,2,CP,SemiCP,0.0236296491151247,0.2605727380036542,1.0,warning,data/models/Ag_Ag_Werner-DFT/SemiCP_M2.json
Ag_Ag_Werner-DFT,Ag,metal,Ag,Werner-DFT,3,CP,SemiCP,0.0155075898813662,0.0791653393203685,1.0,warning,data/models/Ag_Ag_Werner-DFT/SemiCP_M3.json
Ag_Ag_Werner-DFT,Ag,metal,Ag,Werner-DFT,4,CP,SemiCP,0.0151469430695759,0.0568221048307882,1.0000000000000009,warning,data/models/Ag_Ag_Werner-DFT/SemiCP_M4.json
Ag_Ag_Werner-DFT,Ag,metal,Ag,Werner-DFT,5,CP,SemiCP,0.0147363132640264,0.065939566149984,1.000000000000002,warning,data/models/Ag_Ag_Werner-DFT/SemiCP_M5.json
Ag_Ag_Yang,Ag,metal,Ag,Yang,1,CP,SemiCP,0.1804155079661286,2.466673218237845,1.000000065297508,poor,data/models/Ag_Ag_Yang/SemiCP_M1.json
Ag_Ag_Yang,Ag,metal,Ag,Yang,2,CP,SemiCP,0.0199491301928952,0.2499241840268237,1.000000103842163,warning,data/models/Ag_Ag_Yang/SemiCP_M2.json
Ag_Ag_Yang,Ag,metal,Ag,Yang,3,CP,SemiCP,0.0133827941059319,0.0391127683020929,1.0000000000000016,warning,data/models/Ag_Ag_Yang/SemiCP_M3.json
Ag_Ag_Yang,Ag,metal,Ag,Yang,4,CP,SemiCP,0.0118271175098573,0.0196638088728085,1.0000000000000002,warning,data/models/Ag_Ag_Yang/SemiCP_M4.json
Ag_Ag_Yang,Ag,metal,Ag,Yang,5,CP,SemiCP,0.0118140678876368,0.0134180606283224,1.000000012465178,warning,data/models/Ag_Ag_Yang/SemiCP_M5.json
Al_Al_Hagemann,Al,metal,Al,Hagemann,1,none,none,,,,no_model,
Al_Al_Hagemann,Al,metal,Al,Hagemann,2,none,none,,,,no_model,
Al_Al_Hagemann,Al,metal,Al,Hagemann,3,CP,SemiCP,0.0103357160428003,0.7027787790401281,1.0000000000000002,warning,data/models/Al_Al_Hagemann/SemiCP_M3.json
Al_Al_Hagemann,Al,metal,Al,Hagemann,4,CP,SemiCP,0.0099049071037261,0.6760855382096863,1.0,acceptable,data/models/Al_Al_Hagemann/SemiCP_M4.json
Al_Al_Hagemann,Al,metal,Al,Hagemann,5,CP,SemiCP,0.0098530474406886,0.6755075632016043,1.000000000000001,acceptable,data/models/Al_Al_Hagemann/SemiCP_M5.json
Al_Al_McPeak,Al,metal,Al,McPeak,1,none,none,,,,no_model,
Al_Al_McPeak,Al,metal,Al,McPeak,2,CP,SemiCP,0.1424636414850906,7.2557352423080115,1.0000000000000002,poor,data/models/Al_Al_McPeak/SemiCP_M2.json
Al_Al_McPeak,Al,metal,Al,McPeak,3,CP,SemiCP,0.0015054820520643,0.0839801771460597,1.000000000000001,excellent,data/models/Al_Al_McPeak/SemiCP_M3.json
Al_Al_McPeak,Al,metal,Al,McPeak,4,CP,SemiCP,0.0007371542655692,0.0323844548662349,1.0000000000000009,excellent,data/models/Al_Al_McPeak/SemiCP_M4.json
Al_Al_McPeak,Al,metal,Al,McPeak,5,CP,SemiCP,0.000698823007854,0.0307650592910618,1.0000000000000018,excellent,data/models/Al_Al_McPeak/SemiCP_M5.json
Al_Al_Rakic,Al,metal,Al,Rakic,1,none,none,,,,no_model,
Al_Al_Rakic,Al,metal,Al,Rakic,2,none,none,,,,no_model,
Al_Al_Rakic,Al,metal,Al,Rakic,3,CP,SemiCP,0.0057092497654914,0.4476770918652024,1.0000009299542287,acceptable,data/models/Al_Al_Rakic/SemiCP_M3.json
Al_Al_Rakic,Al,metal,Al,Rakic,4,CP,SemiCP,0.00282718315662,0.2103606227539933,1.0000000000000004,excellent,data/models/Al_Al_Rakic/SemiCP_M4.json
Al_Al_Rakic,Al,metal,Al,Rakic,5,CP,SemiCP,0.0025703647396731,0.181974142526655,1.0,excellent,data/models/Al_Al_Rakic/SemiCP_M5.json
Al_Al_Rakic-BB,Al,metal,Al,Rakic-BB,1,none,none,,,,no_model,
Al_Al_Rakic-BB,Al,metal,Al,Rakic-BB,2,CP,SemiCP,0.5740784881574612,40.084867290709816,1.0000000000000022,poor,
Al_Al_Rakic-BB,Al,metal,Al,Rakic-BB,3,CP,SemiCP,0.0015819284549765,0.1158155549472759,1.0,excellent,
Al_Al_Rakic-BB,Al,metal,Al,Rakic-BB,4,CP,SemiCP,0.0013608855646973,0.1003597226747261,1.000000000000002,excellent,
Al_Al_Rakic-BB,Al,metal,Al,Rakic-BB,5,CP,SemiCP,0.0013590731265644,0.100404549077732,1.0000000000000004,excellent,
Al_Al_Rakic-LD,Al,metal,Al,Rakic-LD,1,none,none,,,,no_model,
Al_Al_Rakic-LD,Al,metal,Al,Rakic-LD,2,none,none,,,,no_model,
Al_Al_Rakic-LD,Al,metal,Al,Rakic-LD,3,CP,SemiCP,0.0010324510102676,0.0479947122425266,1.0000000000000004,excellent,data/models/Al_Al_Rakic-LD/SemiCP_M3.json
Al_Al_Rakic-LD,Al,metal,Al,Rakic-LD,4,CP,SemiCP,0.0005919824267911,0.0270463068785218,1.000000000000001,excellent,data/models/Al_Al_Rakic-LD/SemiCP_M4.json
Al_Al_Rakic-LD,Al,metal,Al,Rakic-LD,5,CP,SemiCP,0.000234884765855,0.0123318050511558,1.0,excellent,data/models/Al_Al_Rakic-LD/SemiCP_M5.json
Al2O3_Al2O3_Boidin,Al2O3,transparent_dielectric_oxide,Al2O3,Boidin,1,CP,SemiCP,0.0004513952683689,0.0012647280588347,1.0,excellent,
Al2O3_Al2O3_Boidin,Al2O3,transparent_dielectric_oxide,Al2O3,Boidin,2,CP,SemiCP,0.0036625254067257,0.0105913858484379,1.0,excellent,
Al2O3_Al2O3_Boidin,Al2O3,transparent_dielectric_oxide,Al2O3,Boidin,3,CP,SemiCP,0.0088639511039506,0.0251898650807147,1.0,acceptable,
Al2O3_Al2O3_Boidin,Al2O3,transparent_dielectric_oxide,Al2O3,Boidin,4,CP,SemiCP,0.0025580522336543,0.0074123083135142,1.0,excellent,
Al2O3_Al2O3_Boidin,Al2O3,transparent_dielectric_oxide,Al2O3,Boidin,5,CP,SemiCP,0.002402686925535,0.0069770084607268,1.0000001594944845,excellent,
Al2O3_Al2O3_Franta,Al2O3,transparent_dielectric_oxide,Al2O3,Franta,1,CP,SemiCP,0.0005651844190725,0.0015317644595312,1.000000001621759,excellent,data/models/Al2O3_Al2O3_Franta/SemiCP_M1.json
Al2O3_Al2O3_Franta,Al2O3,transparent_dielectric_oxide,Al2O3,Franta,2,CP,SemiCP,7.748984145222385e-05,0.0002164315746949,1.0000000416854404,excellent,data/models/Al2O3_Al2O3_Franta/SemiCP_M2.json
Al2O3_Al2O3_Franta,Al2O3,transparent_dielectric_oxide,Al2O3,Franta,3,CP,CP,2.6124724167181285e-05,7.288741445446242e-05,1.0,excellent,data/models/Al2O3_Al2O3_Franta/CP_M3.json
Al2O3_Al2O3_Franta,Al2O3,transparent_dielectric_oxide,Al2O3,Franta,4,CP,CP,2.56078306871693e-05,7.149319975702173e-05,1.0000000000000004,excellent,data/models/Al2O3_Al2O3_Franta/CP_M4.json
Al2O3_Al2O3_Franta,Al2O3,transparent_dielectric_oxide,Al2O3,Franta,5,CP,SemiCP,8.881665214940492e-05,0.000248232669025,1.0000000000000002,excellent,data/models/Al2O3_Al2O3_Franta/SemiCP_M5.json
Al2O3_Al2O3_Querry,Al2O3,transparent_dielectric_oxide,Al2O3,Querry,1,none,none,,,,no_model,
Al2O3_Al2O3_Querry,Al2O3,transparent_dielectric_oxide,Al2O3,Querry,2,CP,SemiCP,0.0133801994235147,0.7348990830261279,1.0,warning,
Al2O3_Al2O3_Querry,Al2O3,transparent_dielectric_oxide,Al2O3,Querry,3,CP,SemiCP,0.0014062860075767,0.0572651935663236,1.0000000000000004,excellent,
Al2O3_Al2O3_Querry,Al2O3,transparent_dielectric_oxide,Al2O3,Querry,4,CP,SemiCP,0.0007294866685383,0.0347757241426609,1.000000000000001,excellent,
Al2O3_Al2O3_Querry,Al2O3,transparent_dielectric_oxide,Al2O3,Querry,5,CP,SemiCP,0.0005822239186518,0.0225246857118226,1.0,excellent,
Al2O3_Al2O3_Querry-e,Al2O3,transparent_dielectric_oxide,Al2O3,Querry-e,1,CP,SemiCP,0.0093910133606991,0.0281339084695151,1.0000000000000002,acceptable,data/models/Al2O3_Al2O3_Querry-e/SemiCP_M1.json
Al2O3_Al2O3_Querry-e,Al2O3,transparent_dielectric_oxide,Al2O3,Querry-e,2,CP,SemiCP,0.0031583728942603,0.0094683604238208,1.0000000000000009,excellent,data/models/Al2O3_Al2O3_Querry-e/SemiCP_M2.json
Al2O3_Al2O3_Querry-e,Al2O3,transparent_dielectric_oxide,Al2O3,Querry-e,3,CP,SemiCP,0.0017432739661368,0.005241086997146,1.0000000000000002,excellent,data/models/Al2O3_Al2O3_Querry-e/SemiCP_M3.json
Al2O3_Al2O3_Querry-e,Al2O3,transparent_dielectric_oxide,Al2O3,Querry-e,4,CP,SemiCP,0.001224583960351,0.0036839601203598,1.0000000000000009,excellent,data/models/Al2O3_Al2O3_Querry-e/SemiCP_M4.json
